"Well","Analyte","Reading"
"A1","K",0
"A1","K",0
"A1","K",0
"A1","K",2
"A1","K",2
"A1","K",0
"A1","K",0
"A1","K",1
"A1","L",175
"A1","L",437
"A1","L",531
"A1","L",163
"A1","L",281
"A1","L",636
"A1","L",474
"A1","L",214
"A1","L",791
"A1","L",208
"A1","L",310
"A1","L",342
"A1","L",318
"A1","M",64
"A1","M",37
"A1","M",42
"A1","M",54
"A1","M",58
"A1","M",46
"A1","M",25
"A1","M",46
"A1","M",73
"A1","M",32
"A1","M",46
"A1","M",46
"A1","M",39
"A1","M",48
"A1","M",52
"A1","M",37
"A1","M",38
"A1","M",17
"A1","M",68
"A1","M",28
"A1","M",44
"A1","M",34
"A1","M",86
"A2","A",39
"A2","A",2
"A2","A",7
"A2","A",283
"A2","A",10
"A2","A",27
"A2","A",4
"A2","A",14
"A2","A",9
"A2","B",119
"A2","B",118
"A2","B",147
"A2","B",173
"A2","B",30
"A2","B",71
"A2","C",0
"A2","C",55
"A2","C",61
"A2","C",13
"A2","C",36
"A2","C",22
"A2","C",16
"A2","C",12
"A2","C",18
"A2","C",11
"A2","C",49
"A2","C",16
"A2","D",825
"A2","D",812
"A2","D",825
"A2","D",791
"A2","E",814
"A2","E",865
"A2","E",787
"A2","E",226
"A2","F",61
"A2","F",17
"A2","F",15
"A2","F",24
"A2","F",20
"A2","G",261
"A2","G",510
"A2","G",770
"A2","G",485
"A2","G",196
"A2","G",550
"A2","G",174
"A2","G",399
"A2","G",828
"A2","G",653
"A2","H",84
"A2","H",228
"A2","H",219
"A2","H",159
"A2","H",160
"A2","H",213
"A2","I",254
"A2","I",309
"A2","I",216
"A2","I",108
"A2","I",29
"A2","I",89
"A2","I",93
"A2","I",91
"A2","I",79
"A2","I",104
"A2","J",48
"A2","J",26
"A2","J",23
"A2","J",25
"A2","J",29
"A2","J",16
"A2","J",25
"A2","K",0
"A2","K",0
"A2","K",0
"A2","K",0
"A2","L",97
"A2","L",335
"A2","L",228
"A2","L",265
"A2","M",24
"A2","M",38
"A2","M",29
"A2","M",20
"A2","M",48
"A3","A",10
"A3","B",81
"A3","B",83
"A3","B",33
"A3","B",146
"A3","B",113
"A3","B",114
"A3","B",99
"A3","B",97
"A3","B",100
"A3","B",79
"A3","B",109
"A3","B",76
"A3","B",15
"A3","B",35
"A3","B",8
"A3","C",19
"A3","C",17
"A3","C",16
"A3","C",20
"A3","C",18
"A3","C",21
"A3","C",19
"A3","C",15
"A3","C",46
"A3","C",13
"A3","C",17
"A3","D",677
"A3","D",790
"A3","D",814
"A3","D",833
"A3","E",818
"A3","E",159
"A3","E",189
"A3","E",261
"A3","E",827
"A3","E",134
"A3","E",849
"A3","E",381
"A3","E",554
"A3","E",339
"A3","E",373
"A3","E",356
"A3","F",10
"A3","F",15
"A3","F",22
"A3","F",6
"A3","F",15
"A3","F",9
"A3","F",10
"A3","F",15
"A3","G",461
"A3","G",262
"A3","G",829
"A3","G",223
"A3","G",144
"A3","G",590
"A3","G",426
"A3","H",80
"A3","H",163
"A3","H",142
"A3","H",98
"A3","H",103
"A3","H",130
"A3","H",126
"A3","H",136
"A3","I",96
"A3","I",99
"A3","I",106
"A3","I",127
"A3","I",116
"A3","I",142
"A3","I",103
"A3","I",93
"A3","I",75
"A3","I",80
"A3","I",107
"A3","I",100
"A3","I",82
"A3","J",25
"A3","J",19
"A3","J",24
"A3","J",22
"A3","J",24
"A3","J",17
"A3","J",24
"A3","J",24
"A3","J",75
"A3","J",18
"A3","J",19
"A3","J",23
"A3","K",2
"A3","K",0
"A3","K",1
"A3","K",1
"A3","K",0
"A3","K",0
"A3","K",0
"A3","K",0
"A3","K",0
"A3","K",0
"A3","K",0
"A3","K",1
"A3","K",0
"A3","L",266
"A3","M",32
"A3","M",46
"A3","M",89
"A3","M",67
"A3","M",56
"A3","M",42
"A3","M",32
"A3","M",22
"A4","A",1
"A4","A",3
"A4","A",3
"A4","A",9
"A4","A",11
"A4","A",9
"A4","A",5
"A4","A",6
"A4","A",4
"A4","A",3
"A4","A",10
"A4","A",7
"A4","A",12
"A4","A",12
"A4","A",6
"A4","A",6
"A4","A",107
"A4","A",4
"A4","A",7
"A4","A",281
"A4","A",9
"A4","A",8
"A4","A",14
"A4","A",25
"A4","A",5
"A4","A",8
"A4","A",11
"A4","B",141
"A4","B",137
"A4","B",50
"A4","B",79
"A4","B",175
"A4","B",122
"A4","B",49
"A4","B",153
"A4","B",92
"A4","B",88
"A4","B",75
"A4","B",84
"A4","B",161
"A4","B",79
"A4","B",131
"A4","B",134
"A4","B",41
"A4","B",156
"A4","B",170
"A4","B",118
"A4","B",80
"A4","B",80
"A4","B",56
"A4","B",50
"A4","B",58
"A4","B",71
"A4","B",130
"A4","B",85
"A4","B",102
"A4","B",104
"A4","B",35
"A4","B",79
"A4","B",144
"A4","B",101
"A4","B",164
"A4","B",112
"A4","B",80
"A4","B",81
"A4","B",178
"A4","B",89
"A4","B",103
"A4","B",134
"A4","B",176
"A4","B",77
"A4","B",244
"A4","B",74
"A4","B",118
"A4","C",39
"A4","C",33
"A4","C",36
"A4","C",32
"A4","C",62
"A4","C",30
"A4","C",28
"A4","C",38
"A4","C",22
"A4","C",21
"A4","C",36
"A4","C",38
"A4","C",22
"A4","C",47
"A4","C",43
"A4","C",59
"A4","C",49
"A4","C",34
"A4","C",26
"A4","C",106
"A4","C",56
"A4","C",30
"A4","C",32
"A4","C",47
"A4","C",32
"A4","C",61
"A4","C",28
"A4","C",28
"A4","C",43
"A4","C",44
"A4","C",24
"A4","C",40
"A4","C",20
"A4","C",29
"A4","C",41
"A4","C",33
"A4","C",22
"A4","C",112
"A4","C",35
"A4","C",37
"A4","C",41
"A4","C",17
"A4","C",30
"A4","C",76
"A4","C",38
"A4","C",23
"A4","C",35
"A4","C",29
"A4","C",29
"A4","C",37
"A4","C",59
"A4","C",79
"A4","C",36
"A4","C",26
"A4","C",30
"A4","C",35
"A4","D",761
"A4","D",798
"A4","D",833
"A4","D",808
"A4","D",739
"A4","D",861
"A4","D",774
"A4","D",831
"A4","D",892
"A4","D",840
"A4","D",777
"A4","D",849
"A4","D",823
"A4","D",796
"A4","D",808
"A4","D",847
"A4","D",801
"A4","D",815
"A4","D",939
"A4","D",800
"A4","D",783
"A4","E",608
"A4","E",841
"A4","E",811
"A4","E",459
"A4","E",759
"A4","E",537
"A4","E",750
"A4","E",841
"A4","E",212
"A4","E",714
"A4","E",761
"A4","E",781
"A4","E",159
"A4","E",515
"A4","E",841
"A4","E",783
"A4","E",415
"A4","E",578
"A4","E",221
"A4","E",556
"A4","E",835
"A4","E",697
"A4","E",794
"A4","E",848
"A4","F",6
"A4","F",6
"A4","F",8
"A4","F",6
"A4","F",17
"A4","F",8
"A4","F",7
"A4","F",6
"A4","F",7
"A4","F",11
"A4","F",6
"A4","F",11
"A4","F",7
"A4","F",9
"A4","F",7
"A4","F",10
"A4","F",10
"A4","F",7
"A4","F",5
"A4","F",11
"A4","F",7
"A4","F",6
"A4","F",7
"A4","F",5
"A4","F",14
"A4","F",6
"A4","F",4
"A4","F",7
"A4","F",10
"A4","F",12
"A4","G",803
"A4","G",843
"A4","G",639
"A4","G",817
"A4","G",340
"A4","G",405
"A4","G",809
"A4","G",790
"A4","G",812
"A4","G",768
"A4","G",413
"A4","G",589
"A4","G",746
"A4","G",325
"A4","G",819
"A4","G",871
"A4","G",618
"A4","G",177
"A4","G",843
"A4","G",412
"A4","G",750
"A4","G",538
"A4","G",490
"A4","G",213
"A4","G",528
"A4","G",765
"A4","G",769
"A4","G",361
"A4","G",778
"A4","G",425
"A4","G",137
"A4","H",92
"A4","H",91
"A4","H",130
"A4","H",97
"A4","H",61
"A4","H",72
"A4","H",115
"A4","H",148
"A4","H",159
"A4","H",177
"A4","H",85
"A4","H",109
"A4","H",24
"A4","H",129
"A4","H",161
"A4","H",20
"A4","H",129
"A4","H",194
"A4","H",63
"A4","H",89
"A4","H",92
"A4","H",120
"A4","H",130
"A4","H",53
"A4","H",121
"A4","H",111
"A4","H",86
"A4","H",165
"A4","H",143
"A4","H",139
"A4","H",123
"A4","H",121
"A4","H",109
"A4","H",128
"A4","H",107
"A4","H",90
"A4","I",57
"A4","I",73
"A4","I",61
"A4","I",92
"A4","I",60
"A4","I",86
"A4","I",80
"A4","I",94
"A4","I",47
"A4","I",70
"A4","I",54
"A4","I",82
"A4","I",80
"A4","I",72
"A4","I",92
"A4","I",74
"A4","I",92
"A4","I",65
"A4","I",71
"A4","I",58
"A4","I",58
"A4","I",95
"A4","I",78
"A4","I",96
"A4","I",115
"A4","I",73
"A4","I",80
"A4","I",77
"A4","I",96
"A4","I",84
"A4","I",99
"A4","I",77
"A4","I",84
"A4","I",94
"A4","I",73
"A4","I",60
"A4","I",85
"A4","I",79
"A4","I",77
"A4","I",69
"A4","I",69
"A4","I",88
"A4","I",94
"A4","I",57
"A4","I",95
"A4","J",83
"A4","J",23
"A4","J",29
"A4","J",22
"A4","J",32
"A4","J",57
"A4","J",22
"A4","J",22
"A4","J",35
"A4","J",80
"A4","J",22
"A4","J",35
"A4","J",23
"A4","J",27
"A4","J",23
"A4","J",29
"A4","J",26
"A4","J",34
"A4","J",27
"A4","J",16
"A4","J",27
"A4","J",41
"A4","J",21
"A4","J",24
"A4","J",70
"A4","J",34
"A4","J",21
"A4","J",27
"A4","J",25
"A4","J",26
"A4","J",34
"A4","J",25
"A4","J",24
"A4","J",28
"A4","J",21
"A4","J",28
"A4","J",25
"A4","J",18
"A4","J",31
"A4","J",27
"A4","J",60
"A4","K",5
"A4","K",0
"A4","K",0
"A4","K",2
"A4","K",0
"A4","K",0
"A4","K",3
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",1
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",1
"A4","K",0
"A4","K",9
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",1
"A4","K",1
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",1
"A4","K",0
"A4","K",1
"A4","K",0
"A4","K",0
"A4","K",0
"A4","K",3
"A4","K",0
"A4","K",0
"A4","L",273
"A4","L",188
"A4","L",364
"A4","L",635
"A4","L",319
"A4","L",519
"A4","L",203
"A4","L",250
"A4","L",862
"A4","L",825
"A4","L",236
"A4","L",227
"A4","L",166
"A4","L",366
"A4","L",273
"A4","L",224
"A4","L",237
"A4","L",220
"A4","L",387
"A4","L",257
"A4","L",707
"A4","L",271
"A4","L",591
"A4","L",490
"A4","L",265
"A4","L",241
"A4","M",48
"A4","M",45
"A4","M",21
"A4","M",35
"A4","M",46
"A4","M",56
"A4","M",60
"A4","M",85
"A4","M",28
"A4","M",27
"A4","M",63
"A4","M",41
"A4","M",46
"A4","M",53
"A4","M",82
"A4","M",55
"A4","M",62
"A4","M",17
"A4","M",45
"A4","M",54
"A4","M",29
"A4","M",83
"A4","M",32
"A4","M",84
"A4","M",48
"A4","M",58
"A4","M",70
"A4","M",41
"A4","M",75
"A4","M",372
"A4","M",28
"A4","M",28
"A5","A",17
"A5","A",4
"A5","A",139
"A5","B",26
"A5","B",38
"A5","B",87
"A5","B",72
"A5","B",115
"A5","B",30
"A5","B",87
"A5","B",50
"A5","B",50
"A5","B",69
"A5","B",154
"A5","B",324
"A5","B",124
"A5","C",7
"A5","C",14
"A5","C",11
"A5","C",1
"A5","C",11
"A5","C",205
"A5","C",210
"A5","D",794
"A5","D",714
"A5","D",910
"A5","D",793
"A5","D",829
"A5","D",811
"A5","E",567
"A5","E",439
"A5","E",759
"A5","F",5
"A5","F",8
"A5","F",199
"A5","F",221
"A5","F",207
"A5","G",167
"A5","G",214
"A5","G",158
"A5","G",198
"A5","G",808
"A5","G",872
"A5","H",80
"A5","H",59
"A5","H",150
"A5","H",82
"A5","H",80
"A5","H",53
"A5","H",58
"A5","H",261
"A5","H",201
"A5","I",54
"A5","I",70
"A5","I",67
"A5","I",83
"A5","I",67
"A5","I",68
"A5","I",45
"A5","I",59
"A5","I",427
"A5","J",13
"A5","J",9
"A5","J",5
"A5","J",21
"A5","J",8
"A5","J",13
"A5","K",0
"A5","K",0
"A5","K",1
"A5","K",0
"A5","K",0
"A5","K",2
"A5","K",0
"A5","K",1
"A5","K",0
"A5","K",0
"A5","K",1
"A5","K",0
"A5","L",254
"A5","L",558
"A5","L",245
"A5","L",92
"A5","L",235
"A5","M",39
"A5","M",34
"A6","A",19
"A6","A",33
"A6","A",27
"A6","A",14
"A6","A",18
"A6","A",6
"A6","A",7
"A6","B",75
"A6","B",143
"A6","B",62
"A6","B",171
"A6","B",49
"A6","B",107
"A6","C",2
"A6","C",46
"A6","C",17
"A6","C",11
"A6","D",793
"A6","D",700
"A6","E",792
"A6","E",850
"A6","E",728
"A6","E",781
"A6","E",742
"A6","E",779
"A6","E",20
"A6","F",5
"A6","F",10
"A6","F",8
"A6","F",11
"A6","F",5
"A6","G",481
"A6","G",734
"A6","G",438
"A6","H",111
"A6","H",105
"A6","H",121
"A6","H",108
"A6","H",108
"A6","H",106
"A6","H",106
"A6","H",100
"A6","H",153
"A6","I",57
"A6","I",81
"A6","I",93
"A6","I",84
"A6","J",30
"A6","J",19
"A6","J",19
"A6","J",24
"A6","J",17
"A6","J",50
"A6","J",19
"A6","J",18
"A6","J",11
"A6","K",0
"A6","K",0
"A6","K",0
"A6","K",0
"A6","K",1
"A6","K",0
"A6","K",0
"A6","L",247
"A6","L",781
"A6","L",332
"A6","L",278
"A6","L",792
"A6","L",678
"A6","M",27
"A6","M",45
"A6","M",38
"A6","M",38
"A6","M",41
"A6","M",65
"A6","M",43
"A7","A",10
"A7","A",13
"A7","B",79
"A7","B",812
"A7","B",57
"A7","B",52
"A7","C",9
"A7","C",7
"A7","C",14
"A7","G",261
"A7","G",341
"A7","G",227
"A7","G",254
"A7","H",75
"A7","H",85
"A7","H",80
"A7","J",18
"A7","K",0
"A7","M",27
"A8","A",8
"A8","A",7
"A8","A",7
"A8","A",7
"A8","A",17
"A8","A",15
"A8","A",6
"A8","A",8
"A8","A",24
"A8","A",6
"A8","A",1
"A8","A",5
"A8","A",3
"A8","A",1
"A8","A",143
"A8","B",54
"A8","B",82
"A8","B",113
"A8","B",61
"A8","B",20
"A8","B",99
"A8","B",98
"A8","B",79
"A8","B",128
"A8","C",31
"A8","C",17
"A8","C",20
"A8","C",45
"A8","C",25
"A8","C",24
"A8","C",23
"A8","C",15
"A8","C",40
"A8","C",30
"A8","C",31
"A8","C",20
"A8","C",16
"A8","C",33
"A8","D",818
"A8","D",853
"A8","D",785
"A8","E",355
"A8","E",240
"A8","F",5
"A8","F",5
"A8","F",2
"A8","F",3
"A8","F",3
"A8","F",2
"A8","F",4
"A8","F",4
"A8","F",3
"A8","G",180
"A8","G",201
"A8","G",247
"A8","G",100
"A8","G",160
"A8","G",158
"A8","G",277
"A8","G",277
"A8","G",311
"A8","H",75
"A8","H",45
"A8","H",40
"A8","H",23
"A8","H",76
"A8","H",23
"A8","H",45
"A8","H",18
"A8","I",37
"A8","I",42
"A8","I",45
"A8","I",48
"A8","I",46
"A8","I",63
"A8","I",59
"A8","I",32
"A8","I",57
"A8","I",57
"A8","I",28
"A8","I",64
"A8","J",15
"A8","J",13
"A8","J",18
"A8","J",19
"A8","J",25
"A8","J",22
"A8","J",19
"A8","J",25
"A8","J",16
"A8","J",9
"A8","J",22
"A8","J",18
"A8","J",21
"A8","J",20
"A8","J",22
"A8","J",12
"A8","J",13
"A8","K",0
"A8","K",6
"A8","K",3
"A8","K",1
"A8","K",0
"A8","K",0
"A8","K",175
"A8","K",1
"A8","K",0
"A8","K",0
"A8","K",1
"A8","L",504
"A8","L",254
"A8","L",525
"A8","L",284
"A8","M",18
"A8","M",32
"A8","M",49
"A8","M",26
"A8","M",40
"A8","M",72
"A8","M",21
"A9","A",13
"A9","A",6
"A9","A",8
"A9","A",10
"A9","A",7
"A9","A",6
"A9","A",5
"A9","A",6
"A9","A",12
"A9","A",7
"A9","A",3
"A9","B",56
"A9","B",65
"A9","B",71
"A9","B",42
"A9","B",48
"A9","B",31
"A9","B",56
"A9","B",42
"A9","B",123
"A9","B",66
"A9","B",6
"A9","B",55
"A9","B",22
"A9","B",57
"A9","B",39
"A9","B",50
"A9","B",56
"A9","B",36
"A9","B",36
"A9","B",16
"A9","B",94
"A9","B",43
"A9","B",36
"A9","B",37
"A9","C",4
"A9","C",5
"A9","C",31
"A9","C",5
"A9","C",4
"A9","C",5
"A9","C",12
"A9","C",7
"A9","C",5
"A9","C",7
"A9","C",13
"A9","C",12
"A9","C",7
"A9","C",5
"A9","C",8
"A9","C",4
"A9","C",3
"A9","C",6
"A9","C",10
"A9","C",6
"A9","D",828
"A9","D",813
"A9","D",786
"A9","D",789
"A9","D",836
"A9","D",834
"A9","D",853
"A9","D",803
"A9","D",795
"A9","D",799
"A9","D",833
"A9","E",278
"A9","E",272
"A9","E",335
"A9","E",360
"A9","E",424
"A9","E",505
"A9","E",462
"A9","E",249
"A9","E",0
"A9","E",274
"A9","E",175
"A9","F",2
"A9","F",1
"A9","F",3
"A9","F",2
"A9","F",3
"A9","F",5
"A9","F",1
"A9","F",1
"A9","F",12
"A9","F",3
"A9","G",170
"A9","G",345
"A9","G",187
"A9","G",95
"A9","G",113
"A9","G",207
"A9","G",198
"A9","G",165
"A9","G",265
"A9","G",136
"A9","G",277
"A9","G",279
"A9","G",251
"A9","G",368
"A9","G",222
"A9","G",262
"A9","G",281
"A9","G",343
"A9","G",351
"A9","H",53
"A9","H",67
"A9","H",62
"A9","H",69
"A9","H",48
"A9","H",48
"A9","H",61
"A9","H",77
"A9","H",87
"A9","H",62
"A9","H",32
"A9","H",39
"A9","H",55
"A9","H",73
"A9","H",66
"A9","I",21
"A9","I",37
"A9","I",22
"A9","I",21
"A9","I",23
"A9","I",27
"A9","I",22
"A9","I",31
"A9","I",32
"A9","I",36
"A9","I",24
"A9","I",50
"A9","I",35
"A9","I",45
"A9","I",37
"A9","I",28
"A9","I",24
"A9","I",41
"A9","I",30
"A9","I",23
"A9","I",31
"A9","I",20
"A9","J",6
"A9","J",5
"A9","J",9
"A9","J",7
"A9","J",6
"A9","J",10
"A9","J",10
"A9","J",44
"A9","J",8
"A9","J",6
"A9","J",13
"A9","J",13
"A9","J",14
"A9","J",21
"A9","J",10
"A9","J",9
"A9","J",11
"A9","J",9
"A9","J",10
"A9","J",10
"A9","K",1
"A9","K",0
"A9","K",0
"A9","K",0
"A9","K",0
"A9","K",0
"A9","K",0
"A9","K",0
"A9","K",0
"A9","K",1
"A9","K",1
"A9","K",0
"A9","K",2
"A9","K",0
"A9","L",390
"A9","L",213
"A9","L",146
"A9","L",205
"A9","L",302
"A9","L",811
"A9","L",310
"A9","L",253
"A9","M",24
"A9","M",35
"A9","M",19
"A9","M",13
"A9","M",22
"A9","M",71
"A9","M",104
"A9","M",82
"A9","M",45
"A9","M",107
"A9","M",21
"A9","M",21
"A9","M",22
"A9","M",81
"A9","M",19
"A10","A",10
"A10","A",9
"A10","A",17
"A10","A",5
"A10","B",46
"A10","B",103
"A10","B",18
"A10","B",29
"A10","B",33
"A10","B",24
"A10","B",53
"A10","B",79
"A10","B",108
"A10","C",5
"A10","C",5
"A10","C",6
"A10","C",6
"A10","C",5
"A10","C",10
"A10","C",7
"A10","C",8
"A10","C",6
"A10","D",732
"A10","D",718
"A10","D",762
"A10","E",275
"A10","E",81
"A10","E",256
"A10","E",134
"A10","E",344
"A10","E",274
"A10","E",333
"A10","E",262
"A10","E",239
"A10","E",243
"A10","E",322
"A10","F",3
"A10","F",4
"A10","F",3
"A10","F",5
"A10","F",3
"A10","F",4
"A10","F",8
"A10","F",6
"A10","F",2
"A10","F",0
"A10","G",269
"A10","G",203
"A10","G",229
"A10","G",175
"A10","G",233
"A10","G",228
"A10","G",244
"A10","G",309
"A10","G",310
"A10","G",327
"A10","G",286
"A10","H",66
"A10","H",70
"A10","H",48
"A10","H",55
"A10","H",105
"A10","H",73
"A10","H",78
"A10","H",56
"A10","I",40
"A10","I",33
"A10","I",29
"A10","I",35
"A10","I",28
"A10","I",33
"A10","I",35
"A10","I",31
"A10","I",41
"A10","I",36
"A10","J",12
"A10","J",8
"A10","J",10
"A10","J",7
"A10","J",12
"A10","J",17
"A10","J",7
"A10","J",10
"A10","J",8
"A10","J",12
"A10","J",25
"A10","J",12
"A10","J",8
"A10","K",0
"A10","K",0
"A10","K",0
"A10","K",3
"A10","K",0
"A10","K",0
"A10","K",0
"A10","K",0
"A10","K",0
"A10","K",3
"A10","K",0
"A10","K",1
"A10","K",0
"A10","K",0
"A10","K",0
"A10","K",0
"A10","L",158
"A10","L",231
"A10","L",246
"A10","L",207
"A10","L",270
"A10","L",202
"A10","L",48
"A10","L",188
"A10","L",645
"A10","L",242
"A10","L",152
"A10","M",27
"A10","M",25
"A10","M",22
"A10","M",57
"B1","A",1
"B1","A",7
"B1","A",7
"B1","A",4
"B1","A",57
"B1","A",8
"B1","A",11
"B1","A",11
"B1","A",14
"B1","A",7
"B1","A",5
"B1","A",10
"B1","A",6
"B1","A",9
"B1","A",12
"B1","A",13
"B1","B",52
"B1","B",69
"B1","B",73
"B1","B",57
"B1","B",56
"B1","B",87
"B1","B",63
"B1","B",22
"B1","B",45
"B1","B",49
"B1","B",75
"B1","B",38
"B1","B",70
"B1","B",53
"B1","B",67
"B1","B",19
"B1","B",15
"B1","B",79
"B1","B",44
"B1","B",51
"B1","B",31
"B1","B",52
"B1","C",9
"B1","C",11
"B1","C",7
"B1","C",8
"B1","C",29
"B1","C",37
"B1","C",10
"B1","C",8
"B1","C",12
"B1","C",8
"B1","C",10
"B1","C",5
"B1","C",8
"B1","C",7
"B1","C",5
"B1","C",8
"B1","C",9
"B1","C",11
"B1","C",8
"B1","C",6
"B1","C",4
"B1","D",768
"B1","D",871
"B1","D",806
"B1","D",832
"B1","D",836
"B1","D",937
"B1","D",781
"B1","D",826
"B1","D",825
"B1","D",698
"B1","E",314
"B1","E",305
"B1","E",294
"B1","E",112
"B1","E",289
"B1","E",372
"B1","E",365
"B1","E",383
"B1","E",366
"B1","E",374
"B1","E",387
"B1","E",301
"B1","E",275
"B1","E",267
"B1","E",317
"B1","E",265
"B1","E",142
"B1","E",271
"B1","E",144
"B1","E",185
"B1","E",296
"B1","F",4
"B1","F",7
"B1","F",8
"B1","F",5
"B1","F",5
"B1","F",8
"B1","F",7
"B1","F",5
"B1","F",8
"B1","F",3
"B1","F",4
"B1","F",3
"B1","G",230
"B1","G",254
"B1","G",331
"B1","G",278
"B1","G",329
"B1","G",236
"B1","G",321
"B1","G",222
"B1","H",66
"B1","H",65
"B1","H",66
"B1","H",45
"B1","H",97
"B1","H",31
"B1","H",60
"B1","H",49
"B1","H",45
"B1","H",71
"B1","H",68
"B1","H",94
"B1","H",94
"B1","H",75
"B1","H",91
"B1","H",58
"B1","H",87
"B1","H",77
"B1","H",58
"B1","H",55
"B1","H",46
"B1","H",51
"B1","H",46
"B1","I",52
"B1","I",56
"B1","I",74
"B1","I",73
"B1","I",38
"B1","I",75
"B1","I",92
"B1","I",62
"B1","I",68
"B1","I",56
"B1","I",32
"B1","I",67
"B1","I",56
"B1","I",52
"B1","I",35
"B1","J",9
"B1","J",8
"B1","J",7
"B1","J",11
"B1","J",16
"B1","J",11
"B1","J",9
"B1","J",23
"B1","J",14
"B1","J",12
"B1","J",12
"B1","J",16
"B1","J",8
"B1","J",9
"B1","J",13
"B1","J",54
"B1","J",10
"B1","J",9
"B1","J",11
"B1","J",11
"B1","J",15
"B1","J",12
"B1","J",15
"B1","J",8
"B1","J",10
"B1","J",9
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",1
"B1","K",0
"B1","K",2
"B1","K",3
"B1","K",3
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","K",0
"B1","L",196
"B1","L",160
"B1","L",149
"B1","L",828
"B1","L",130
"B1","L",217
"B1","L",319
"B1","L",339
"B1","L",770
"B1","L",159
"B1","M",27
"B1","M",105
"B1","M",38
"B1","M",38
"B1","M",43
"B1","M",36
"B1","M",73
"B1","M",24
"B1","M",22
"B1","M",26
"B1","M",91
"B1","M",43
"B1","M",42
"B1","M",36
"B1","M",35
"B1","M",30
"B2","A",9
"B2","B",152
"B2","B",106
"B2","B",98
"B2","B",113
"B2","B",76
"B2","B",123
"B2","B",76
"B2","B",122
"B2","B",48
"B2","B",90
"B2","B",103
"B2","B",67
"B2","C",7
"B2","C",14
"B2","C",12
"B2","C",23
"B2","C",9
"B2","C",9
"B2","C",31
"B2","C",11
"B2","C",9
"B2","C",16
"B2","C",1
"B2","D",758
"B2","D",881
"B2","D",763
"B2","D",750
"B2","E",798
"B2","E",358
"B2","E",737
"B2","E",750
"B2","F",6
